"","ID","CODE","ALIAS","STORE","TYPE_90","X_COOR","Y_COOR","TYPE_99","TOWN","TOWN_ID"
"1","59","I0100001","麥當勞(台北公園)","MIC","4",302150.15717,2770812.71982,"3","中正區","5"
"2","120","I0100001","麥當勞(台北慶城)","MIC","3",304984.2005,2771717.31329,"3","松山區","1"
"3","6114","I0100001","麥當勞(台北101店)","MIC","2",306956.53728,2769936.97534,"4","信義區","2"
"4","6977","I0100002","肯德基(台北中崙店)","KFC","4",304741.518,2771096.87228,"3","中山區","4"
"5","6995","I0100002","肯德基(大直愛買店)","KFC","2",306103.60936,2774880.62138,"5","中山區","4"
"6","7025","I0100002","肯德基(台北東湖二店)","KFC","2",312174.97231,2773464.41533,"3","內湖區","10"
"7","7030","I0100001","麥當勞(舊宗)","MIC","4",308350.14179,2772656.71297,"1","內湖區","10"
"8","7038","I0100002","肯德基(台北興隆店)","KFC","4",306269.50013,2765797.85647,"4","文山區","8"
"9","7052","I0100002","肯德基(北投光明店)","KFC","1",300839.01949,2780999.13503,"4","北投區","12"
"10","7061","I0100001","麥當勞(民權東)","MIC","3",305096.17597,2772736.71417,"5","松山區","1"
"11","7089","I0100002","肯德基(台北八德店)","KFC","4",308237.73355,2771464.47619,"3","松山區","1"
"12","7091","I0100002","肯德基(台北中山北店)","KFC","2",302784.64903,2772520.06297,"2","中山區","4"
"13","7093","I0100002","肯德基(台北仁愛店)","KFC","3",306244.2438,2770025.27926,"4","大安區","3"
"14","7094","I0100002","肯德基(台北內湖店)","KFC","1",306976.85197,2775024.46358,"5","內湖區","10"
"15","7096","I0100002","肯德基(台北天母店)","KFC","1",303532.54719,2778954.37024,"4","士林區","11"
"16","7097","I0100002","肯德基(台北士林店)","KFC","3",303054.18312,2775549.41734,"4","士林區","11"
"17","7098","I0100002","肯德基(台北信義(二)店)","KFC","2",306905.6486,2769671.50516,"4","信義區","2"
"18","7101","I0100001","麥當勞(民生東)","MIC","4",305336.19177,2772322.54931,"2","松山區","1"
"19","7104","I0100002","肯德基(台北成都店)","KFC","1",300917.29275,2770660.89851,"2","萬華區","7"
"20","7107","I0100002","肯德基(台北三越店)","KFC","4",301996.61352,2770996.71105,"5","中正區","5"
"21","7108","I0100002","肯德基(台北承德店)","KFC","4",302145.46916,2771503.71472,"4","大同區","6"
"22","7111","I0100002","肯德基(台北中山店)","KFC","2",304848.51703,2771608.11383,"4","中山區","4"
"23","7112","I0100002","肯德基(台北南京東店)","KFC","4",306638.15905,2771571.35092,"5","松山區","1"
"24","7116","I0100002","肯德基(台北峨嵋店)","KFC","4",301172.21775,2770677.3838,"4","萬華區","7"
"25","7117","I0100002","肯德基(台北台大店)","KFC","4",303806.61319,2767785.80574,"4","大安區","3"
"26","7118","I0100002","肯德基(台北漢口店)","KFC","2",301812.03693,2770870.69238,"2","中正區","5"
"27","7593","I0100001","麥當勞(新生南)","MIC","1",303830.13911,2767884.04685,"3","大安區","3"
"28","7597","I0100001","麥當勞(士林中正)","MIC","2",302861.00143,2776372.50384,"4","士林區","11"
"29","7598","I0100001","麥當勞(士林)","MIC","3",303269.71767,2776521.61081,"5","士林區","11"
"30","7599","I0100001","麥當勞(士林基河)","MIC","1",302911.47104,2775528.92743,"1","士林區","11"
"31","7600","I0100001","麥當勞(天母)","MIC","1",303336.94237,2779010.58871,"2","士林區","11"
"32","7601","I0100001","麥當勞(台北德行)","MIC","2",303762.00219,2778014.33951,"4","士林區","11"
"33","7602","I0100001","麥當勞(重北一)","MIC","4",301648.70559,2775013.64228,"5","士林區","11"
"34","7603","I0100001","麥當勞(高島屋)","MIC","1",303596.03013,2778268.26135,"3","士林區","11"
"35","7604","I0100001","麥當勞(陽明山)","MIC","3",305119.5238,2781147.6654,"1","士林區","11"
"36","7605","I0100001","麥當勞(台北承德)","MIC","2",302136.67884,2771483.52417,"4","大同區","6"
"37","7606","I0100001","麥當勞(民生三)","MIC","2",302501.98009,2772273.71602,"1","大同區","6"
"38","7607","I0100001","麥當勞(重北二)","MIC","4",301861.51557,2773801.28299,"2","大同區","6"
