OBJECTID,X,Y
1,309234.9062,2778759.75
2,309230.875,2778746
3,309228.0625,2778734.25
4,309224.5001,2778716.75
5,309223.3438,2778696.25
6,309225.3125,2778682
7,309230.1874,2778670
8,309239.4062,2778656.25
9,309262.75,2778633
10,309282.0626,2778610
11,309290.9063,2778597.5
12,309300.2188,2778580.25
13,309306.9999,2778565.75
14,309314.2501,2778544
15,309318.0938,2778530.75
16,309318.5,2778520.5
17,309318.9063,2778499.5
18,309318.5,2778481
19,309319.2501,2778468.5
20,309323.2813,2778453.25
21,309329.3125,2778438
22,309341.8438,2778417
23,309357.9063,2778393.25
24,309371.1876,2778376
25,309383.25,2778353.5
26,309394.1251,2778328
27,309403.7813,2778307.5
28,309409.8125,2778291
29,309413.8437,2778278.75
30,309424.4062,2778252.25
31,309428.8437,2778243.25
32,309438.9063,2778234.75
33,309464.2188,2778220
34,309483.5313,2778208.25
35,309502.5001,2778193.5
36,309516.7501,2778182
37,309518.1875,2778181
38,309521.4062,2778179.75
39,309528.3125,2778179.25
40,309558.5,2778183
41,309571.7812,2778183.25
42,309583.8125,2778181.25
43,309590.25,2778179
44,309603.9375,2778170.5
45,309618.4063,2778158.25
46,309627.7188,2778144
47,309636.9374,2778130.25
48,309641.4063,2778127.5
49,309661.5312,2778125.5
50,309672.3438,2778125.5
51,309678.7812,2778128.25
52,309688.0312,2778137
53,309696.9063,2778142.75
54,309706.1562,2778144.25
55,309717.8751,2778144.25
56,309729.0938,2778142.25
57,309748,2778135.5
58,309768.5312,2778128.5
59,309791.4687,2778124.25
60,309820.0626,2778122.25
61,309853.0625,2778122.5
62,309883.1876,2778124.75
63,309908.9375,2778123
64,309937.5312,2778116.25
65,309960.875,2778107
66,309978.9687,2778097.25
67,309992.6562,2778084.5
68,310011.5313,2778067
69,310024.4063,2778059.5
70,310038.9375,2778054.25
71,310059.4687,2778050.75
72,310081.1562,2778047.5
73,310089.6563,2778045.75
74,310096.9063,2778042.5
75,310115.4063,2778031.25
76,310129.9063,2778023.75
77,310153.25,2778015.5
78,310164.0625,2778012
79,310183.4376,2778009.5
80,310245.3751,2778009.25
81,310288.0938,2778007.25
82,310309.4063,2778006
83,310315.8437,2778004.25
84,310324.7188,2778000.25
85,310334.7813,2777990.75
86,310343.5625,2777980.25
87,310354.0312,2777973.75
88,310363.6874,2777968
89,310372.9374,2777966
90,310405.9063,2777965.75
91,310420.8438,2777965
92,310442.125,2777961
93,310462.25,2777954.5
94,310479.1562,2777948.5
95,310489.6562,2777943.25
96,310504.9063,2777933
97,310511.6875,2777927.25
98,310528.0312,2777919.5
99,310540.7813,2777910.5
100,310562.0625,2777894.25
101,310570.7187,2777887.5
102,310585.375,2777878.5
103,310623.3437,2777857
104,310659.6563,2777829.25
105,310702.125,2777796.5
106,310724.5624,2777775
107,310734,2777769.25
108,310746.625,2777764
109,310779.25,2777755
110,310793.1562,2777750
111,310833.5313,2777734.25
112,310859.3125,2777722
113,310876.0312,2777715.75
114,310890.75,2777713
115,310918.5313,2777711.75
116,310971.5624,2777711.75
117,311018.0625,2777711.75
118,311040.5,2777708
119,311068.25,2777701.25
120,311087.4063,2777694.25
121,311102.9688,2777684
122,311114.7813,2777677
123,311130.6563,2777671
124,311169.125,2777659.25
125,311196.4688,2777650.5
126,311215.2187,2777642
127,311238.0625,2777631
128,311246.25,2777625.25
129,311256.8751,2777613
130,311276.875,2777585.25
131,311299.6874,2777557.5
132,311306.2187,2777554.25
133,311313.1562,2777547.5
134,311326.625,2777523
135,311337.25,2777496
136,311347.8751,2777481.25
137,311361.3437,2777468.75
138,311366.2187,2777463.5
